芸名,読み仮名,誕生日,出身地,出身校,芸名の由来,愛称,役柄,退団年,備考
秋月 さえ子,あきづき さえこ,4月10日,静岡県沼津市,,,,男役,1935年,
泉 しか子,いずみ しかこ,,,,,,,1926年,
須磨 幾代,すま いくよ,,,,,,,1924年,
高浪 喜代子,たかなみ きよこ,5月5日,福島県,,,,両方,1932年,初代柳家三亀松夫人
千秋 夕子,ちあき ゆうこ,,,,,,,1928年,
綱手 渚,つなで なぎさ,,,,,,,1926年,妹は水町のぶ子姪は夏城淳・雪城まりか
夕凪 保,ゆうなぎ たもつ,,,,,,,1928年,
小川 そよ子,おがわ そよこ,,,,,,,1927年,
嶋 八十子,しま やそこ,,,,,,,1925年,　
勿来 なほ子,なこそ なおこ,7月20日,,,,,娘役,1935年,
夏木 てふ子,なつき ちょうこ,2月18日,,,,,,1933年,
御祓 夏子,みはらい なつこ,,,,,,,1931年,
都 八重,みやこ やえ,,,,,,,1926年,後に都八重子に改名。
秋葉 しげる,あきば しげる,,,,,,,1928年,
上野 櫻子,うえの さくらこ,,,,,,,1932年,
江岸 みな子,えぎし みなこ,,,,,,,1927年,
雄島 やな子,おじま やなこ,,,,,,,不明,
片野 沖子,かたの おきこ,,,,,,,1928年,
白露 とめ子,しらつゆ とめこ,,,,,,,1928年,
関 洋子,せき ようこ,11月24日,,,,,,1935年,
長月 町子,ながつき まちこ,,,,,,,1928年,
長谷 うかり,はせ うかり,,,,,,,1924年,
花野 春子,はなの はるこ,2月13日,,大谷女学校,,,,1929年,プロ野球審判・横澤四郎夫人嫁は虹乃千恵妹は初代・尾上さくら
松野 友子,まつの ともこ,1月15日,,,,カドノさん,男役,1943年,妹は有川恒子・花藻ゆかり姪は千草美景
御垣 悦子,みかき えつこ,,,,,,娘役,1930年,
美香野 いづみ,みかの いづみ,,,,,,,1926年,
三好野 秋子,みよしの あきこ,,,,,,,1928年,
陸奥 千鶴子,むつ ちづこ,,,,,,,1926年,
宇治 いほり,うじ いおり,,,,,,,1928年,
紅葉野 錦,もみじの にしき,,,,,,,1925年,
芳野 里子,よしの さとこ,,,,,,,1932年,
美名野 潤子,みなの じゅんこ,,,,,,,1925年,
