芸名,読み仮名,誕生日,出身地,出身校,芸名の由来,愛称,役柄,退団年,備考
淡島 千景,あわしま ちかげ,2月24日,東京都,成蹊学園,百人一首,ケイちゃんおケイちゃん,娘役,1950年,俳優
東城 公子,とうじょう きみこ,,,,,,,1943年,
松山 緑,まつやま みどり,,,,,,,1945年,
大津 典子,おおつ のりこ,,,,,,,1944年,娘は津山典子
睦 千世,むつみ ちよ,9月9日,兵庫県芦屋市,芦屋高等女学校,いつまでも人の和を保つように,サトちゃん,娘役,1985年,改名後・睦千賀（むつみ ちが）日本舞踊・花柳禄寿重在団中に渡辺武男の郷土芸能シリーズ作品振付助手1984年宝塚音楽学校日本舞踊講師
南郷 かほる,なんごう かおる,,,,,,,1944年,
南 悠子,みなみ ゆうこ,10月1日,東京都,東京高輪頌栄高等女学校,『詩経』,ユーコさん,男役,1971年,俳優日本舞踊・藤間勘右
京 千鈴,きょう ちすず,1月6日,京都府,京都府立第一高等女学校,,,,1944年,作家・新章文子
久慈 あさみ,くじ あさみ,5月2日,東京都中央区,麹町学園高等学校,,ヨッタン,男役,1950年,俳優
桂木 宮子,かつらぎ みやこ,,,,,,,1944年,改名後・桂木富三子（かつらぎ ふみこ）
櫻 万紀子,さくら まきこ,,,,,,,1943年,
鳴海 潮,なるみ うしお,1月28日,大阪府,奈良女子高等師範学校附属高等女学校,姉が命名,サノやん,,1970年,
大和 清美,やまと きよみ,,,,,,,1944年,
雪路 美晴,ゆきじ みはる,,,,,,,1947年,
八洲 陽子,やしま ようこ,,,,,,,1946年,
小袖 京子,こそで きょうこ,,,,,,,1945年,
百合 美子,ゆり よしこ,,,,,,,1953年,
黒潮 わたる,くろしお わたる,,,,,,,1944年,
若梅 昌子,わかうめ まさこ,7月9日,大阪府大阪市中央区,,,,,1944年,占い師・泉アツノ
藤園 子,ふじ そのこ,,,,,,,1944年,
結城 眞琴,ゆうき まこと,,,,,,,1946年,
常盤木 八千代,ときわぎ やちよ,12月14日,大阪府大阪市,相愛高等女学校,,トダコ,,1953年,
波濤 萬里子,はとう まりこ,,,,,,,1944年,
濱路 真砂子,はまじ まさこ,,,,,,,1945年,
三幸 福子,みゆき ふくこ,,,,,,,1947年,
美園 百合,みその ゆり,,,,,,,1946年,
玉笛 美千子,たまぶえ みちこ,,,,,,,1944年,
花橘 陵子,かきつ りょうこ,,,,,,,1944年,
草間 かほる,くさま かほる,4月6日,京都府京都市,,,ナカボン,,1957年,改名後・草間淑江（くさま よしえ）夫は鶴岡一人
奥山 けふ子,おくやま けふこ,,,,,,,1944年,
飛鳥 都,あすか みやこ,,,,,,,1947年,
春山 かすみ,はるやま かすみ,,,,,,,1944年,
白鳥 歌子,しらとり うたこ,,,,,,,1947年,
霧笛 美加,きりぶえ みか,,,,,,,1944年,
大東 君子,だいとう きみこ,,,,,,,1943年,妹は打出妙子
笹乃 おぶね,ささの おぶね,,,,,,,1945年,
名城 香久子,なしろ かくこ,,,,,,,1945年,
湖 ひかる,みずうみ ひかる,,,,,,,1944年,
明美 京子,あけみ きょうこ,,,,,,,1944年,
青葉 しげる,あおば しげる,9月29日,大阪府茨木市,,,トモヤン,,1958年,改名後・青葉多枝子（あおば たえこ）
甲斐 はるみ,かい はるみ,,,,,,,1944年,俳優・堀雄二夫人息子は堀之紀・堀秀行
楓 かの子,かえで かのこ,,,,,,,1946年,1946年11月21日、在団中に逝去
初花 にほふ,はつはな におふ,,,,,,,1946年,
船津 郁子,ふなつ いくこ,,,,,,,1947年,
住江 みちる,すみのえ みちる,8月16日,兵庫県芦屋市,,,マトちゃんみどりちゃん,,1946年,歌手
大空 千里,おおぞら ちさと,,,,,,,1944年,
瑞鳥 黎子,みずとり れいこ,,,,,,,1942年,
故里 千秋,ふるさと ちあき,11月20日,兵庫県神戸市,,,おやまちゃん,両役,1959年,俳優、鉄板焼「松朝」（兵庫県西宮市北口）経営改名後・故里明美（ふるさと あけみ）姪は孝まりお
高津 宮子,たかつ みやこ,,,,,マッちゃん,,1949年,
小乙女 時雨,さおとめ しぐれ,,,,,,,1944年,
三室 幸子,みむろ さちこ,,,,,,,1945年,
紀伊 邦子,きい くにこ,,,,,,,1945年,
白梅 かほり,しらうめ かほり,,,,,,,1944年,
