芸名,読み仮名,誕生日,出身地,出身校,身長,愛称,役柄,配属,退団年,備考
夢華 あみ,ゆめか あみ,6月19日,千葉県千葉市,慶應義塾女子高校,164.5㎝,あみ,娘役,雪組,2014年,
和希 そら,かずき そら,10月5日,岡山県岡山市,市立旭東中学,168㎝,かず,男役,宙組→雪組,,
空波 輝,そらなみ こう,10月2日,兵庫県三田市,神戸龍谷中学,168㎝,ちこ,男役,雪組,2012年,
優波 慧,ゆうなみ けい,6月7日,東京都大田区,田園調布雙葉高校,171㎝,しお、だし,男役,花組,2022年,
乙羽 映見,おとはね えみ,7月27日,大分県大分市,市立碩田中学,165㎝,Emi,娘役,花組,2019年,
音咲 いつき,おとさき いつき,6月27日,神奈川県藤沢市,市立御所見中学,167㎝,SAI,男役→娘役,星組,,
夢奈 瑠音,ゆめな るね,2月25日,東京都世田谷区,桐朋女子中学,168㎝,ルネ,男役,月組,,
秋音 光,あきね ひかる,11月23日,福岡県古賀市,明治学園高校,168㎝,あきも,男役,宙組,,
瀬戸花 まり,せとはな まり,12月28日,徳島県名西郡,徳島市立高校,163㎝,せとはな,娘役,宙組,2022年,
春海 ゆう,はるみ ゆう,12月19日,大阪府大阪市,清明学院高校,168㎝,ぐつ,男役,月組,,
咲妃 みゆ,さきひ みゆ,3月16日,宮崎県児湯郡,日向学院高校,160㎝,みゆりん,娘役,月組→雪組,2017年,
蘭舞 ゆう,らんま ゆう,9月12日,山口県下関市,梅光女学院高校,171㎝,ゆりえ、らんま,男役,花組,2013年,
更紗 那知,さらさ なち,6月1日,佐賀県佐賀市,佐賀女子高校,162㎝,りえ、なち,娘役,花組,2021年,
橘 幸,たちばな こう,12月3日,岐阜県多治見市,名古屋女子大学高校,167㎝,めーこ,男役,雪組,2021年,
叶羽 時,かのは とき,9月25日,兵庫県芦屋市,市立精道中学,163㎝,ときちゅん,娘役,月組,2019年,
紫藤 りゅう,しどう りゅう,5月5日,東京都文京区,大妻高校,174㎝,るりこ,男役,星組→宙組,,
綺咲 愛里,きさき あいり,10月30日,兵庫県川西市,県立宝塚北高校,162㎝,まいこちゅ,娘役,星組,2019年,妹は美里玲菜
蒼井 美樹,あおい みき,2月26日,東京都世田谷区,都立国際高校,163㎝,りょこ、リョン,娘役,雪組,2017年,
花乃 まりあ,かの まりあ,10月12日,東京都多摩市,恵泉女学園中学,164㎝,りおるん,娘役,宙組→花組,2017年,
妃華 ゆきの,ひめはな ゆきの,6月26日,兵庫県西宮市,雲雀丘学園高校,162㎝,みどり,娘役,雪組,,
茜 小夏,あかね こなつ,9月5日,東京都渋谷区,田園調布学園高等部,162㎝,こなつ,娘役,月組,2018年,
真地 佑果,まち ゆうか,11月22日,大阪府大阪市,帝塚山高校,175㎝,まっち、まち、ゆっちん,男役,雪組,2021年,
朝月 希和,あさづき きわ,1月6日,東京都世田谷区,昭和女子大学附属昭和高校,163㎝,ひらめ、ともこ,娘役,花組→雪組→花組→雪組,,
桜奈 あい,さくらな あい,4月12日,大阪府東大阪市,帝塚山高校,164㎝,あいにゃ、えなっち,娘役,月組,2021年,
美桜 エリナ,みおう えりな,10月22日,福岡県太宰府市,県立博多青松高校,162㎝,ふみな、エリナ,娘役,宙組,2016年,
華蓮 エミリ,かれん えみり,1月18日,香川県高松市,ノートルダム清心学園清心中学,161㎝,エミリン、エリコ,娘役,雪組,2021年,
白鳥 ゆりや,しらとり ゆりや,8月26日,兵庫県西宮市,神戸松蔭高校,164㎝,ゆりやん,娘役,星組,2018年,
桜舞 しおん,おうま しおん,9月11日,福岡県北九州市,西南女学院高校,169㎝,おーま、りり,男役,花組,2018年,
蒼矢 朋季,そうや ともき,1月8日,千葉県市川市,県立国分高校,169㎝,マミー、ともき,男役,月組,2017年,
千幸 あき,ちゆき あき,10月24日,千葉県八千代市,千葉敬愛高校,170㎝,ちゆき,男役,花組,2020年,
五條 まりな,ごじょう まりな,10月30日,北海道札幌市,市立藻岩中学,159㎝,かえ,娘役,星組,2015年,
颯希 有翔,はやき ゆうと,9月16日,埼玉県さいたま市,山脇学園中学,169㎝,つっちー、つっちゃん,男役,月組,2021年,
夢月 せら,むつき せら,7月16日,宮崎県宮崎郡,日向学院,171㎝,ちゅん、せら,男役,宙組,2013年,
拓斗 れい,たくと れい,6月7日,大阪府堺市,帝塚山学院中学,171㎝,たくと,男役,星組,2021年,
里咲 しぐれ,りさき しぐれ,5月1日,東京都小金井市,都立小金井北高校,165㎝,むっく,娘役,宙組,2021年,
凰 いぶき,おう いぶき,5月12日,奈良県吉野郡,県立高取国際高校,172㎝,みの,男役,雪組,2014年,
貴姿 りょう,たかしな りょう,10月3日,大分県大分市,岩田学園岩田中学,171㎝,たかしな、あっち,男役,宙組,2013年,
朝水 りょう,あさみず りょう,4月19日,東京都中央区,岡山商科大学附属高校,168㎝,モッピー、P,男役,星組,,
