芸名,読み仮名,誕生日,出身地,出身校,芸名の由来,愛称,役柄,退団年,備考
水城 れい子,みずき れいこ,,,,,,,1941年,
谺 春香,こだま はるか,3月24日,大阪府大阪市,育英高等家政女学校,歌劇団で命名して貰う,タアちゃん,男役,1953年,
加古 まち子,かこ まちこ,,広島県広島市,広島県立広島第一高等女学校,,アーちゃん,,1944年,内海重典夫人
輝 藍子,かがやき あいこ,,,,,,,1945年,妹は惠協子
都 春美,みやこ はるみ,,,,,,,1940年,
久方 さくら,ひさかた さくら,,,,,,,1945年,
諏訪 洋子,すわ ようこ,,,,,,,1945年,
敷島 翠,しきしま みどり,,,,,,,1945年,娘は俳優の青山弥生
曙 陽子,あけぼの ようこ,,,,,,,1944年,
芦邊 浪子,あしべ なみこ,,,,,,,1948年,
野唄 みのる,のうた みのる,,,,,,,1944年,
宵町 君子,よいまち きみこ,,,,,,,1945年,
若草 萠,わかくさ もえ,,,,,,,1944年,
日下 輝子,くさか てるこ,1月11日,大阪府,,兄が命名,オトク,娘役,1951年,
国立 尭子,くにたち たかこ,,,,,,,1945年,
浅茅 しのぶ,あさじ しのぶ,11月14日,大阪府大阪市,,百人一首,キマ,娘役,1954年,俳優
眞弓 ひかり,まゆみ ひかり,12月26日,大阪府,,,瀧口さん,,1957年,娘は俳優の志村幸美
七海 はるか,ななみ はるか,,,,,,,1943年,
櫻絵 綾子,さくらえ あやこ,,,,,,,1940年,娘は毬杏奴
八十島 ちひろ,やそじま ちひろ,,,,,,,1940年,
美山 しぐれ,みやま しぐれ,8月5日,東京都,大阪桜ノ宮,歌劇団で命名して貰う,おじいさま,,1976年,
星夜 ひかり,ほしぞら ひかり,,,,,,,1944年,
雛鶴 京子,ひなづる きょうこ,,,,,,,1947年,
衣笠 ちなみ,きぬがさ ちなみ,,,,,,,1944年,
薫 ゆたか,かおり ゆたか,,,,,,両方,1945年,
幸風 とほる,さちかぜ とほる,,,,,,,1945年,
如月 玲子,きさらぎ れいこ,,,,,,,1943年,
千里 ゆり,ちさと ゆり,,,,,,,1944年,娘はマリア・バティスタ孫は雪菜つぐみ
住の江 うら子,すみのえ うらこ,,,,,,,1945年,
有明 順子,ありあけ じゅんこ,,,,,,,1948年,作詞家・高崎邦佑夫人
蘭 郁子,らん いくこ,,,,,,,1940年,
山櫻 桂子,やまざくら けいこ,,,,,,,1943年,
朝丘 千鶴,あさおか ちづる,,,,,,,1942年,
吉野 八重子,よしの やえこ,,,,,,,1943年,
初空 陽子,はつぞら ようこ,,,,,,,1940年,
小櫻 栄子,こざくら えいこ,,,,,,,1947年,
志津原 愛子,しづはら あいこ,,,,,,,1945年,
美柳 日紗子,みやぎ ひさこ,,,,,サアちゃん,,1950年,改名後・美柳日佐子 （みやぎ ひさこ）
四條 秀子,しじょう ひでこ,2月5日,京都府京都市,弥栄学校,出生地の京都四条と父の名を採って青柳有美が命名,初榮ちゃん,娘役,1970年,宝塚音楽学校バレエ教師
絵島 由紀,えじま ゆき,,,,,,,1945年,妹は壬生桜子
旭 映子,あかつき えいこ,,,,,,,1944年,姉は櫻緋紗子・若葉繁
碧 なつみ,みどり なつみ,,,,,,,1942年,
弓束 みつみ,ゆづか みつみ,,,,,,,1944年,改名後・弓束みつぐ（ゆづか みつぐ）
麦波 ひばり,むぎなみ ひばり,11月29日,大阪府,,,オナベちゃん,,1952年,
月空 美舟,つきぞら みふね,1月16日,兵庫県神戸市,,,デコミツ,男役,1952年,娘は美舟幸
夢路 さよ子,ゆめじ さよこ,,,,,,,1944年,宝塚歌劇団クラシックバレエ講師・星野安子
藤代 彩子,ふじしろ あやこ,1月6日,北海道函館市,東京青山女学院,,ウキちゃん,,1958年,鉄板焼「杉の子」（東京・原宿）経営
白帆 詩子,しらほ うたこ,,,,,,,1943年,
牧園 朝子,まきぞの あさこ,,,,,,,1940年,
朝海 黎子,あさみ れいこ,,,,,,,1944年,
忍 世紀子,しのぶ せきこ,,,,,,,1945年,
紀の水 美惠,きのみず みえ,,,,,,,1943年,改名後・紀の水美恵（きのみず みえ）
葉月 弓子,はづき ゆみこ,,,,,,,1943年,
東 多鶴子,あずま たづこ,,,,,,,1944年,
櫻井 千雪,さくらい ちゆき,,,,,,,1944年,
絹川 澄子,きぬかわ すみこ,,,,,,,1944年,
美咲 紗代子,みさき さよこ,,,,,,,1944年,改名前・美咲紗千子（みさき さちこ）、美咲紗千（みさき さち）、美咲紗代（みさき さよ）娘は渡啓子
鈴影 朝子,すずかげ あさこ,,,,,,,1947年,
三條 妙子,さんじょう たえこ,,,,,,,1944年,
花笠 かほり,はながさ かほり,,東京都世田谷区,,,,,1945年,姉は渚真帆
青城 水絵,あおき みずえ,,,,,アキちゃん,,1949年,
雪乃江 黎子,ゆきのえ れいこ,,,,,,,1947年,
大倉 悦子,おおくら えつこ,,,,,,,1944年,
加茂川 千鳥,かもがわ ちどり,,,,,,,1943年,
寶城 照子,ほうじょう てるこ,,,,,,,1941年,
若水 久美子,わかみず くみこ,,,,,,,1947年,
津山 とみえ,つやま とみえ,,,,,,,1945年,
呉羽 絹子,くれは きぬこ,,,,,,,1944年,
日野 晃,ひの あきら,,,,,,,1949年,刺繍教師
